date_time,ms_played,minutes_played,country,episode_name,show_name,album_name,track_name,artist_name,skipped,type
2021-02-18 05:12:16+00:00,2877074,47.95123333,NZ,EP01｜有空錄 Podcast 的腦闆都是企業邊緣人,腦闆想什麼？,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-19 00:12:30+00:00,2823053,47.05088333,NZ,EP07｜在家裡玩師兄師姐的遊戲 ft. 小啦（下）,腦闆想什麼？,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-19 00:37:23+00:00,1342336,22.37226667,NZ,EP05｜耍廢藝術家的時間管理哲學,腦闆想什麼？,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-19 01:04:45+00:00,1562752,26.04586667,NZ,EP07｜在家裡玩師兄師姐的遊戲 ft. 小啦（下）,腦闆想什麼？,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-19 01:44:25+00:00,1261053,21.01755,NZ,EP07｜在家裡玩師兄師姐的遊戲 ft. 小啦（下）,腦闆想什麼？,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-19 02:25:51+00:00,2115456,35.2576,NZ,EP01｜有空錄 Podcast 的腦闆都是企業邊緣人,腦闆想什麼？,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-19 02:43:19+00:00,72533,1.208883333,NZ,Lesson 002. Chinese Tones and  Pronunciation.,Learn Mandarin Chinese  - Chinese Audio Lessons,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-19 02:49:49+00:00,388351,6.472516667,NZ,Survival Phrases S2 #1 - Thank You!,Learn Japanese: Japanese Survival Phrases,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-19 02:56:00+00:00,81732,1.3622,NZ,Day 27: Numbers 10 to 20 in Cantonese,Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-19 02:56:57+00:00,56469,0.94115,NZ,"Day 28: Days, months and years in Cantonese",Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-19 02:57:50+00:00,52011,0.86685,NZ,"Day 29: Past, present, and future tenses in Cantonese",Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-19 02:59:36+00:00,105510,1.7585,NZ,Day 30: Animals in Cantonese,Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2021-02-19 03:00:49+00:00,72816,1.2136,NZ,Day 31: Weathers in Cantonese,Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
